PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Fours,Sixes
Basil Thampi,11,,,0,0,0,0,0
Matthew Wade,2,Mustafizur Rahman,c Rishabh Pant b Mustafizur Rahman,1,2,1,0,0
Shubman Gill,1,Khaleel Ahmed,c Axar Patel b Khaleel Ahmed,84,46,6,6,4
Vijay Shankar,3,Kuldeep Yadav,b Kuldeep Yadav,13,20,11,1,0
Hardik Pandya,5,Khaleel Ahmed,c Rovman Powell b Khaleel Ahmed,31,27,11,4,0
David Miller,4,,not out,20,15,3,2,0
Rahul Tewatia,6,Mustafizur Rahman,c Shardul Thakur b Mustafizur Rahman,14,8,3,1,1
Abhinav Manohar,7,Mustafizur Rahman,c Axar Patel b Mustafizur Rahman,1,2,1,0,0
Rashid Khan,9,,not out,0,1,1,0,0
Lockie Ferguson,8,,,0,0,0,0,0
Mohammad Shami,10,,,0,0,0,0,0
Varun Aaron,11,,,0,0,0,0,0
Prithvi Shaw,1,Lockie Ferguson,c Vijay Shankar b Lockie Ferguson,10,7,1,1,0
Tim Seifert,2,Hardik Pandya,c Abhinav Manohar b Hardik Pandya,3,5,3,0,0
Mandeep Singh,3,Lockie Ferguson,c Matthew Wade b Lockie Ferguson,18,16,10,4,0
Rishabh Pant,4,Lockie Ferguson,c Abhinav Manohar b Lockie Ferguson,43,29,7,7,0
Lalit Yadav,6,Vijay Shankar,run out (Abhinav Manohar),25,22,11,2,1
Rovman Powell,5,Mohammad Shami,lbw Mohammad Shami,20,12,3,2,1
Axar Patel,7,Lockie Ferguson,c Matthew Wade b Lockie Ferguson,8,4,2,2,0
Shardul Thakur,8,Rashid Khan,lbw Rashid Khan,2,5,4,0,0
Kuldeep Yadav,9,,not out,14,14,5,0,1
Khaleel Ahmed,10,Mohammad Shami,c Matthew Wade b Mohammad Shami,0,1,1,0,0
Mustafizur Rahman,11,,not out,3,5,2,0,0
Mayank Agarwal,10,Mukesh Choudhary,c Robin Uthappa b Mukesh Choudhary,4,2,1,1,0
Shikhar Dhawan,8,Dwayne Bravo,c Ravindra Jadeja b Dwayne Bravo,33,24,11,4,1
Bhanuka Rajapaksa,4,Chris Jordan,run out (Chris Jordan),9,5,2,0,1
Liam Livingstone,5,Ravindra Jadeja,c Ambati Rayudu b Ravindra Jadeja,60,32,14,5,5
Jitesh Sharma,7,Dwaine Pretorius,c Robin Uthappa b Dwaine Pretorius,26,17,7,0,3
Shahrukh Khan,9,Chris Jordan,c Dwaine Pretorius b Chris Jordan,6,11,6,0,0
Odean Smith,6,Chris Jordan,c Dwayne Bravo b Chris Jordan,3,7,4,0,0
Kagiso Rabada,1,,not out,12,12,5,1,0
Rahul Chahar,3,Dwaine Pretorius,c Dwayne Bravo b Dwaine Pretorius,12,8,4,1,1
Vaibhav Arora,2,,not out,1,2,1,0,0
Arshdeep Singh,11,,,0,0,0,0,0
Robin Uthappa,1,Vaibhav Arora,c Mayank Agarwal b Vaibhav Arora,13,10,4,2,0
Ruturaj  Gaikwad,2,Kagiso Rabada,c Shikhar Dhawan b Kagiso Rabada,1,4,3,0,0
Moeen Ali,3,Vaibhav Arora,b Vaibhav Arora,0,2,2,0,0
Ambati Rayudu,5,Odean Smith,c Jitesh Sharma b Odean Smith,13,21,14,2,0
Ravindra Jadeja,6,Arshdeep Singh,b Arshdeep Singh,0,3,3,0,0
Shivam Dube,4,Liam Livingstone,c Arshdeep Singh b Liam Livingstone,57,30,8,6,3
MS Dhoni,7,Rahul Chahar,c Jitesh Sharma b Rahul Chahar,23,28,13,1,1
Dwayne Bravo,9,Liam Livingstone,c & b Liam Livingstone,0,1,1,0,0
Dwaine Pretorius,8,Rahul Chahar,c Arshdeep Singh b Rahul Chahar,8,4,2,0,1
Chris Jordan,10,Rahul Chahar,c Liam Livingstone b Rahul Chahar,5,5,2,0,0
Mukesh Choudhary,11,,not out,2,2,0,0,0
K L Rahul,1,T Natarajan,lbw T Natarajan,68,50,12,6,1
Quinton De Kock,2,Washington Sundar,c Kane Williamson b Washington Sundar,1,4,3,0,0
Evin Lewis,4,Washington Sundar,lbw Washington Sundar,1,5,4,0,0
Manish Pandey,3,Romario Shepherd,c Bhuvneshwar Kumar b Romario Shepherd,11,10,7,1,1
Deepak Hooda,5,Romario Shepherd,c Rahul Tripathi b Romario Shepherd,51,33,8,3,3
Ayush Badoni,6,Romario Shepherd,run out (Nicholas Pooran),19,12,3,3,0
Krunal Pandya,7,T Natarajan,b T Natarajan,6,3,1,1,0
Jason Holder,8,,not out,8,3,0,0,1
Andrew Tye,9,,,0,0,0,0,0
Avesh Khan,10,,,0,0,0,0,0
Ravi Bishnoi,11,,,0,0,0,0,0
Abhishek Sharma,2,Avesh Khan,c Manish Pandey b Avesh Khan,13,11,4,2,0
Kane Williamson,1,Avesh Khan,c Andrew Tye b Avesh Khan,16,16,8,1,1
Rahul Tripathi,3,Krunal Pandya,c Ravi Bishnoi b Krunal Pandya,44,30,10,5,1
Aiden Markram,5,Krunal Pandya,c K L Rahul b Krunal Pandya,12,14,3,0,0
Nicholas Pooran,4,Avesh Khan,c Deepak Hooda b Avesh Khan,34,24,9,3,2
Washington Sundar,8,Jason Holder,c K L Rahul b Jason Holder,18,14,2,1,0
Abdul Samad,6,Avesh Khan,c Quinton De Kock b Avesh Khan,0,1,1,0,0
Romario Shepherd,7,Jason Holder,c Ayush Badoni b Jason Holder,8,8,5,0,1
Bhuvneshwar Kumar,9,Jason Holder,c Quinton De Kock b Jason Holder,1,2,1,0,0
Umran Malik,11,,not out,1,1,0,0,0
T Natarajan,10,,,0,0,0,0,0
Jos Buttler,1,,not out,70,47,11,0,6
Yashasvi Jaiswal,2,David Willey,b David Willey,4,6,3,0,0
Devdutt Padikkal,3,Harshal Patel,c Virat Kohli b Harshal Patel,37,29,13,2,2
Sanju Samson,4,Wanindu Hasaranga,c & b Wanindu Hasaranga,8,8,5,0,1
Shimron Hetmyer,5,,not out,42,31,12,4,2
Riyan Parag,6,,,0,0,0,0,0
Ravichandran Ashwin,7,,,0,0,0,0,0
Navdeep Saini,8,,,0,0,0,0,0
Prasidh Krishna,9,,,0,0,0,0,0
Trent Boult,10,,,0,0,0,0,0
Yuzvendra Chahal,11,,,0,0,0,0,0
Faf Du Plessis,1,Yuzvendra Chahal,c Trent Boult b Yuzvendra Chahal,29,20,7,5,0
Anuj Rawat,2,Navdeep Saini,c Sanju Samson b Navdeep Saini,26,25,11,4,0
Virat Kohli,3,Yuzvendra Chahal,run out (Sanju Samson),5,6,2,0,0
David Willey,7,Yuzvendra Chahal,b Yuzvendra Chahal,0,2,2,0,0
Sherfane Rutherford,4,Trent Boult,c Navdeep Saini b Trent Boult,5,10,5,0,0
Shahbaz Ahmed,6,Trent Boult,b Trent Boult,45,26,9,4,3
Dinesh Karthik,5,,not out,44,23,6,7,1
Harshal Patel,9,,not out,9,4,0,0,1
Wanindu Hasaranga,8,,,0,0,0,0,0
Mohammed Siraj,10,,,0,0,0,0,0
Akash Deep,11,,,0,0,0,0,0
Rohit Sharma,2,Umesh Yadav,c Sam Billings b Umesh Yadav,3,12,9,0,0
Ishan Kishan,1,Pat Cummins,c Shreyas Iyer b Pat Cummins,14,21,11,1,0
Dewald Brevis,7,Varun Chakaravarthy,st Sam Billings b Varun Chakaravarthy,29,19,7,2,2
Suryakumar Yadav,3,Pat Cummins,c Sam Billings b Pat Cummins,52,36,11,5,2
Tilak Varma,4,,not out,38,27,8,3,2
Kieron Pollard,6,,not out,22,5,0,0,3
Daniel Sams,5,,,0,0,0,0,0
Tymal Mills,8,,,0,0,0,0,0
Murugan Ashwin,9,,,0,0,0,0,0
Jasprit Bumrah,10,,,0,0,0,0,0
Basil Thampi,11,,,0,0,0,0,0
Ajinkya Rahane,1,Tymal Mills,c Daniel Sams b Tymal Mills,7,11,5,0,0
Venkatesh Iyer,2,,not out,50,41,17,6,1
Shreyas Iyer,3,Daniel Sams,c Tilak Varma b Daniel Sams,10,6,3,2,0
Sam Billings,4,Murugan Ashwin,c Basil Thampi b Murugan Ashwin,17,12,5,0,2
Nitish Rana,5,Murugan Ashwin,c Daniel Sams b Murugan Ashwin,8,7,4,0,1
Andre Russell,6,Tymal Mills,c Dewald Brevis b Tymal Mills,11,5,2,1,1
Pat Cummins,8,,not out,56,15,2,4,6
Sunil Narine,7,,,0,0,0,0,0
Rasikh Salam,9,,,0,0,0,0,0
Umesh Yadav,10,,,0,0,0,0,0
Varun Chakaravarthy,11,,,0,0,0,0,0
Prithvi Shaw,1,Krishnappa Gowtham,c Quinton De Kock b Krishnappa Gowtham,61,34,14,9,2
David Warner,2,Ravi Bishnoi,c Ayush Badoni b Ravi Bishnoi,4,12,8,0,0
Rovman Powell,5,Ravi Bishnoi,b Ravi Bishnoi,3,10,7,0,0
Rishabh Pant,4,,not out,39,36,16,3,2
Sarfaraz Khan,3,,not out,36,28,5,3,0
Lalit Yadav,6,,,0,0,0,0,0
Axar Patel,7,,,0,0,0,0,0
Shardul Thakur,8,,,0,0,0,0,0
Kuldeep Yadav,9,,,0,0,0,0,0
Anrich Nortje,10,,,0,0,0,0,0
Mustafizur Rahman,11,,,0,0,0,0,0
K L Rahul,1,Kuldeep Yadav,c Prithvi Shaw b Kuldeep Yadav,24,25,10,1,1
Quinton De Kock,2,Kuldeep Yadav,c Sarfaraz Khan b Kuldeep Yadav,80,52,14,9,2
Evin Lewis,3,Lalit Yadav,c Kuldeep Yadav b Lalit Yadav,5,13,8,0,0
Deepak Hooda,4,Shardul Thakur,c Axar Patel b Shardul Thakur,11,13,4,0,0
Krunal Pandya,6,,not out,19,14,4,0,1
Ayush Badoni,5,,not out,10,3,1,1,1
Jason Holder,7,,,0,0,0,0,0
Krishnappa Gowtham,8,,,0,0,0,0,0
Andrew Tye,9,,,0,0,0,0,0
Avesh Khan,10,,,0,0,0,0,0
Ravi Bishnoi,11,,,0,0,0,0,0
Mayank Agarwal,2,Hardik Pandya,c Rashid Khan b Hardik Pandya,5,9,7,1,0
Shikhar Dhawan,1,Rashid Khan,c Matthew Wade b Rashid Khan,35,30,11,4,0
Jonny Bairstow,3,Lockie Ferguson,c Rahul Tewatia b Lockie Ferguson,8,8,6,2,0
Liam Livingstone,4,Rashid Khan,c David Miller b Rashid Khan,64,27,4,7,4
Jitesh Sharma,5,Darshan Nalkande,c Shubman Gill b Darshan Nalkande,23,11,4,1,2
Odean Smith,7,Darshan Nalkande,c Shubman Gill b Darshan Nalkande,0,1,1,0,0
